AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
1.43           Angle of attack for zero Cn for linear Cn curve (deg)
7.80220        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4946        Cn at stall value for positive angle of attack for linear Cn curve
-0.6636        Cn at stall value for negative angle of attack for linear Cn curve
6.00           Angle of attack for minimum CD (deg)
0.0329         Minimum CD value
     51.00    0.8070    1.1008
     52.00    0.8014    1.1329
     53.00    0.7951    1.1647
     54.00    0.7881    1.1962
     55.00    0.7804    1.2274
     56.00    0.7721    1.2581
     57.00    0.7630    1.2885
     58.00    0.7532    1.3184
     59.00    0.7427    1.3478
     60.00    0.7316    1.3767
     61.00    0.7197    1.4050
     62.00    0.7071    1.4328
     63.00    0.6939    1.4598
     64.00    0.6799    1.4863
     65.00    0.6653    1.5120
     66.00    0.6501    1.5370
     67.00    0.6342    1.5612
     68.00    0.6176    1.5846
     69.00    0.6005    1.6073
     70.00    0.5827    1.6290
     71.00    0.5643    1.6499
     72.00    0.5454    1.6699
     73.00    0.5258    1.6889
     74.00    0.5058    1.7070
     75.00    0.4852    1.7241
     76.00    0.4640    1.7403
     77.00    0.4424    1.7554
     78.00    0.4203    1.7694
     79.00    0.3978    1.7825
     80.00    0.3748    1.7944
     81.00    0.3514    1.8053
     82.00    0.3276    1.8150
     83.00    0.3034    1.8237
     84.00    0.2789    1.8312
     85.00    0.2541    1.8376
     86.00    0.2290    1.8428
     87.00    0.2036    1.8469
     88.00    0.1780    1.8499
     89.00    0.1521    1.8517
     90.00    0.1260    1.8523
     91.00    0.0998    1.8518
     92.00    0.0735    1.8501
     93.00    0.0470    1.8473
     94.00    0.0204    1.8433
     95.00   -0.0062    1.8382
     96.00   -0.0328    1.8319
     97.00   -0.0595    1.8245
     98.00   -0.0861    1.8160
     99.00   -0.1126    1.8064
    100.00   -0.1391    1.7956
    101.00   -0.1654    1.7838
    102.00   -0.1916    1.7710
    103.00   -0.2176    1.7570
    104.00   -0.2434    1.7421
    105.00   -0.2689    1.7261
    106.00   -0.2941    1.7091
    107.00   -0.3191    1.6912
    108.00   -0.3437    1.6723
    109.00   -0.3679    1.6525
    110.00   -0.3971    1.6318
    111.00   -0.4204    1.6102
    112.00   -0.4433    1.5877
    113.00   -0.4656    1.5645
    114.00   -0.4875    1.5405
